Taluka,lx,ly,ux,uy
Vada,72.9,19.5,73.3,19.8
Vasai,72.7,19.5,72.7,19.5
Vikramgad,72.9,19.7,73.2,20.0
Dahanau,72.7,19.8,73.1,20.1
Gangakhed,76.6,18.7,76.9,19.1
Jintur,76.5,19.4,76.9,19.8
Manwat,76.4,19.1,76.6,19.4
Palam,76.8,18.9,76.9,18.9
Parbhani,76.6,19.0,76.9,19.5
Pathri,76.2,19.1,76.5,19.4
Purna,76.8,19.0,77.2,19.3
Selu,76.3,19.3,76.7,19.7
Sonpeth,76.4,18.8,76.7,19.1
Ambegaon,73.5,18.8,74.2,19.2
Baramati,74.2,18.0,74.7,18.4
Bhor,73.6,18.0,74.1,18.4
Daund,74.1,18.3,74.8,18.7
Haveli,73.6,18.3,73.7,18.4
Indapur,74.7,17.9,75.2,18.3
Junnar,73.6,19.0,74.3,19.4
Khed,73.5,18.6,74.0,19.1
Mawal,73.3,18.6,73.8,19.0
Mulshi,73.6,18.4,73.6,18.4
Pune City,73.8,18.5,74.0,18.6
Purandhar,73.9,18.1,74.3,18.4
Shirur,74.0,18.5,74.6,19.0
Velhe,73.4,18.2,73.8,18.4
Alibag,72.8,18.7,72.8,18.7
Karjat-Raigad,73.3,18.8,73.6,19.1
Khalapur,73.2,18.7,73.4,19.0
Mahad,73.3,17.9,73.7,18.3
Mangaon,73.2,18.1,73.4,18.5
Mhasla,73.0,18.0,73.3,18.3
Murud,72.9,18.2,73.1,18.6
Panvel,72.9,18.8,73.3,19.1
Pen,73.0,18.5,73.3,18.8
Poladpur,73.4,17.9,73.7,18.1
Roha,73.0,18.3,73.3,18.6
Shrivardhan,72.9,18.0,73.1,18.3
Sudhagad,73.2,18.4,73.4,18.7
Tala,73.0,18.2,73.2,18.4
Uran,72.9,19.0,72.9,19.0
Chiplun,73.3,17.2,73.7,17.6
Dapoli,73.1,17.6,73.4,17.9
Guhaghar,73.1,17.2,73.4,17.6
Khed-Ratnagiri,73.3,17.8,73.3,17.8
Lanja,73.4,16.7,73.8,17.0
Mandangad,73.0,17.9,73.4,18.1
Rajapur,73.3,16.5,73.9,16.8
Ratnagiri,73.2,16.7,73.6,17.3
Sangmeshwar,73.4,16.9,73.8,17.3
Atpadi,74.7,17.2,75.0,17.6
Jath,75.0,16.8,75.7,17.3
Kadegaon,74.3,17.1,74.5,17.4
Kavathe Mahankal,74.7,16.9,75.1,17.2
Khanapur,74.4,17.1,74.9,17.4
Miraj,74.4,16.7,75.0,17.0
Palus,74.4,16.9,74.6,17.2
Shirala,73.7,16.9,74.2,17.3
Tasgaon,74.5,16.9,74.9,17.3
Walwa,74.1,16.9,74.5,17.2
Jaoli,73.6,17.5,74.0,17.9
Karad,74.0,17.1,74.3,17.5
Khandala,73.9,17.9,74.2,18.2
Khatav,74.2,17.4,74.7,17.9
Koregaon,74.0,17.5,74.3,18.0
Mahableshwar,73.5,17.8,73.9,18.0
Man,74.4,17.5,74.9,17.9
Patan,73.6,17.1,74.1,17.6
Phaltan,74.2,17.8,74.7,18.1
Satara,73.8,17.5,74.2,17.8
Wai,73.6,17.8,74.1,18.1
Devgad,73.3,16.2,73.6,16.6
Dodamarg,73.9,15.6,74.2,15.9
Kankavali,73.6,16.2,74.0,16.6
Kudal,73.6,15.9,74.0,16.2
Malwan,73.4,16.0,73.7,16.3
Rajapur-Sindhudurg,73.7,16.6,73.7,16.6
Savantwadi,73.7,15.7,74.1,16.1
Vaibhavwadi,73.7,16.4,73.9,16.7
Vengurla,73.5,15.7,73.8,16.0
Akkalkot,76.1,17.7,76.2,17.7
Karmala,74.8,18.1,75.4,18.6
Madha,75.0,17.9,75.7,18.3
Malshiras,74.6,17.6,75.2,18.0
Mangalvedhe,75.3,17.2,75.7,17.6
Mohol,75.4,17.5,75.8,18.0
Pandharpur,75.1,17.5,75.6,17.9
Sangola,74.9,17.6,75.0,17.6
Solapur North,75.7,17.6,76.0,18.0
Solapur South,75.6,17.4,76.1,17.8
Barshi,75.5,17.9,76.0,18.5
Ambarnath,73.1,19.1,73.4,19.2
Bhiwandi,72.9,19.2,73.2,19.5
Kalyan,73.1,19.1,73.3,19.4
Murbad,73.3,19.1,73.8,19.5
Shahapur,73.2,19.3,73.7,19.7
Thane,72.8,19.0,73.1,19.3
Ulhasnagar,73.1,19.2,73.2,19.2
Arvi,78.1,20.7,78.6,21.1
Ashti-Wardha,78.1,21.1,78.3,21.4
Deoli,78.2,20.5,78.7,20.8
Hingangaht,78.5,20.3,79.0,20.7
Karanja,78.4,21.1,78.4,21.1
Samudrapur,78.8,20.4,79.2,20.8
Seloo,78.7,20.7,78.7,20.7
Wardha,78.5,20.6,78.5,20.6
Karanja-Washim,77.5,20.3,77.5,20.4
Malegaon-Washim,76.8,20.1,77.2,20.5
Mangrulpir,77.5,20.4,77.5,20.4
Manora,77.4,20.0,77.7,20.4
Risod,76.6,19.8,77.0,20.2
Washim,77.0,19.9,77.4,20.3
Arni,77.9,19.9,78.2,20.2
Babulgaon,78.3,20.5,78.3,20.5
Darwha,78.0,20.4,78.0,20.4
Digras,77.6,20.0,77.9,20.2
Ghatanji,78.1,19.8,78.5,20.2
Kalamb-Yavatmal,78.2,20.2,78.5,20.6
Kelapur,78.4,19.8,78.7,20.3
Mahagaon,77.6,19.6,78.0,20.0
Maregaon,78.8,20.0,78.8,20.0
Ner,77.6,20.4,78.0,20.6
Pusad,77.3,19.7,77.7,20.1
Ralegaon,78.5,20.2,78.5,20.3
Umarkhed,77.5,19.4,78.2,19.8
Wani,78.8,20.0,78.8,20.0
Yavatmal,77.9,20.3,77.9,20.3
Zari Zamni,78.6,19.7,79.0,20.0
